nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",194,"1,33","0,35",0,0,0,0,0,0,"15,7",0,"44,6","7,41","10,1",1170,"0,4","14,7",40000,885,"8,34",0,3270,"88,4",4020,"8,19",0,12400,0,"12,2",0,0,0,0,0,"1,67",0,0,0,0
Galantine (aliment moyen),279,"23,4","9,78",0,0,"0,18",0,0,0,"1,57","0,85","0,67","15,2","2,04",9,0,"2,3",7,9,0,174,230,0,783,0,0,0,0,0,0,0,5,"0,16","0,22","2,6",0,0,0,0
"Galette de céréales au fromage (sans soja), préemballé",241,"10,3","2,56","4,86","2,01","0,07","0,01","0,01","28,5","27,8","2,86","4,3",7,1,93,"0,2","1,1",20,97,"0,8",350,340,20,398,"1,3",21,5,"0,25","2,07","2,35",0,"0,5","0,083","0,039","0,68","0,44","0,047","12,1","0,12"
"Galette de céréales aux légumes (sans soja), préemballé",211,"7,6","0,89","4,01","2,2","0,03","0,01","0,01",0,28,"3,66","4,4","5,31","1,03",29,"0,21","1,3",20,48,"0,97",130,220,20,411,"1,1",0,149,"0,25","2,97","7,3",0,"0,5","0,081","0,01","0,7","0,4","0,054","20,7",0
Galette de maïs soufflé,"43,62","1,7","0,36",0,0,0,0,0,0,0,"0,3",0,"7,08","0,2",0,0,0,0,0,0,0,0,0,"79,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galette de riz soufflé complet,385,3,"0,54","1,07","1,11","0,04","0,01","0,01",0,"80,5","0,73","2,9","7,32","0,18",12,"0,23","1,1",20,160,"2,8",410,300,20,"72,6","1,8",0,0,0,"1,01","0,8",0,0,"0,088","0,02","1,26","0,74","0,18","41,5",0
"Galette de sarrasin, nature, préemballée","157,79","1,51","0,33","0,34","0,39","0,023",0,0,"0,7","30,1","1,08","3,08","5,95","1,32","21,6","0,3","1,8",20,"86,9","0,6","62,5",188,5,520,"1,6",2,0,"0,5","0,28",0,0,0,"0,25","0,046","2,1","0,6","0,25","34,9","0,13"
Galette des rois feuilletée,"348,9","23,3","13,4",0,0,0,0,0,0,"29,8","9,9","2,45",5,"0,61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galette des rois feuilletée, fourrée frangipane, et Pithiviers",434,30,14,"8,11","1,58","0,1","0,011",0,90,"33,4","15,6",2,"7,6","0,7","58,7",1,"1,1",10,"38,1",1,113,169,3,280,1,0,0,0,"3,3",0,0,"1,3","0,06","0,1","0,23","0,35","0,05",28,"0,56"
Galette multicéréales soufflée,394,"2,5","0,33",0,0,0,0,0,0,"82,4","0,98",3,"8,43","0,23",0,0,0,0,0,0,0,0,0,"90,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galette ou pavé au blé (seitan) et légumes, préemballé",208,"7,1","0,73","4,93","0,98","0,02","0,01","0,01",0,"20,8","3,97","3,1","12,5",1,42,"0,21","1,2",20,38,"0,74",100,150,20,398,1,0,292,"0,25","1,65","4,63",0,"0,5","0,083","0,01","0,31","0,29","0,049","46,3",0
"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",215,11,"1,04","7,92","1,28","0,08","0,01","0,01",0,"8,15","1,87","6,03",16,"1,3",89,"0,34","3,3",20,75,"1,2",200,520,20,519,"1,3",0,"32,4","0,25","2,67","2,66",0,"0,5","0,046","0,042","0,32","0,35","0,052","39,5",0
"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",201,"10,2","1,07","3,96","4,18","0,2","0,01","0,01","4,43","13,3","2,62","5,36","10,2","1,14",72,"0,19","2,2",20,53,"0,84",150,400,20,454,"0,86",21,"32,3","0,25","4,7","7,01",0,"0,5","0,066","0,1","0,49","0,29","0,06",138,"0,05"
"Galette ou pavé au soja et fromage, préemballé",204,12,"4,63","2,55","3,33","0,44","0,01","0,01","12,5","6,08","0,75","1,8","16,8","1,07",250,"0,31","1,8",20,84,"0,88",280,230,20,427,"1,9","35,4",34,"0,25","0,75","9,06",0,"0,5","0,052","0,081","0,57","0,3","0,057","23,7","0,24"
"Galette ou pavé au soja et légumes, préemballé",175,"8,1","1,04","3,79","2,59","0,18","0,01","0,01",0,"8,36","3,45","4,97","13,1","0,93",99,"0,26","2,1",20,70,"0,93",180,430,20,372,"1,2",0,158,"0,25","2,29","12,3",0,"0,5","0,057","0,038","0,47","0,3","0,043","38,1",0
"Galette ou pavé au soja, fromage et légumes, préemballé",180,"9,1","2,36","2,45","3,3","0,4","0,01","0,01","6,12","7,72","2,03","2,83","15,1","0,97",170,"0,33",2,20,82,"0,99",210,320,20,389,"1,5",21,118,"0,25","1,74","12,8",0,"0,5","0,086","0,044","0,49","0,31","0,055","23,3","0,08"
"Galette ou pavé aux lentilles, soja et légumes, préemballé",170,"5,6","0,75","2,73","1,59","0,17","0,01","0,01",0,"16,7","2,77","4,76","9,71","0,85",69,"0,28","1,9",20,59,"0,81",150,230,20,338,"1,3",0,457,"0,25","2,14","13,5",0,"0,5","0,09","0,01","0,17","0,33","0,052","45,3",0
Gâteau (aliment moyen),"395,28","17,8","5,36","7,49","2,17","0,81","0,0047","0,0057","85,8","53,5",32,"1,75","5,27","0,73","65,4","0,12","1,24","11,5","21,4","0,24",150,161,"7,29",292,"0,52","69,1","43,7","0,41","3,23",0,0,"0,41","0,21","0,11","0,38","0,47","0,054",35,"0,21"
Gâteau au chocolat,"435,76","21,6","5,6","10,5","3,1","1,39","0,005","0,005",110,"54,6","32,2","2,42","5,74","0,76",153,"0,15","1,73",10,"33,4","0,21",159,184,10,304,"0,68",82,44,"0,5","5,4",0,0,1,"0,59","0,16","0,5","0,6","0,05",78,"0,2"
"Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi0couches, avec ou sans cerises)","324,32",19,"12,4","4,32","0,48","0,07","0,01","0,01","61,7","34,2","29,5","2,2","4,13","0,17",53,"0,24","2,7",20,32,"0,3",98,190,20,69,"0,59","83,7","55,2","0,25","0,69","3,13",0,"0,5","0,026","0,075","0,1","0,33","0,013","48,2","0,23"
"Gâteau au chocolat, coeur fondant, préemballé (rayon frais)",364,"18,1","12,5",0,0,0,0,0,0,"41,9","30,9","3,24","6,86","0,073",0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gâteau au citron, tout type","427,7","21,3","8,64","4,83","3,17","0,38",0,0,0,54,0,1,5,"0,54",0,0,"0,4",0,0,0,0,170,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gâteau au fromage blanc,"237,08","11,6","5,16",0,"0,53","0,03",0,"0,005",55,27,"19,5","0,7","6,17","0,5",51,"0,02","0,63",10,11,"0,14",93,90,0,200,"0,51",156,34,"0,5","0,56","4,4",0,"0,4","0,028","0,19","0,2","0,57","0,052",15,"0,17"
Gâteau au yaourt,"423,28","21,4","2,23",0,0,0,0,0,0,"51,8","26,9","1,13","5,87","0,67",0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gâteau aux amandes type financier,"460,2","27,4","13,3","8,86","2,44","0,11","0,01","0,01","57,9","44,3","34,6","2,6","9,1","0,47",54,"0,13","0,01",20,51,"0,33",140,180,20,189,"0,51",166,"57,5","0,25","3,75","2,09",0,"0,5","0,03","0,11","0,1","0,2","0,015","27,3","0,043"
"Gâteau aux amandes, préemballé","419,22","17,3","7,37",0,0,0,0,0,0,"60,1","37,4","2,15","5,78","0,5",0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gâteau basque, cerises","391,9","13,5","9,1",0,0,0,0,0,0,"63,3",42,"1,4","4,3","0,43",0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gâteau basque, crème pâtissière","365,42","13,3","7,55","2,66","0,43","0,07","0,01","0,01","53,1","57,4","28,1",1,"4,03","0,47",27,"0,08","0,44",20,11,"0,24",110,100,20,189,"0,28",116,"48,5","0,25","0,26","0,8",0,"0,5","0,034","0,094","0,13","0,36","0,027","19,5","0,1"
"Gâteau de riz au caramel, rayon frais",143,"3,1","1,88","0,68","0,13","0,02","0,01","0,01",32,"25,4","15,7","0,5","3,19","0,073",63,"0,1","0,3",2,"7,8","0,1",73,84,"3,35",29,"0,5",30,9,"0,5","0,2",0,0,"0,5","0,04","0,14","0,16","0,34","0,075",17,"0,08"
"Gâteau de riz, appertisé",115,"1,9",0,0,0,0,0,0,0,20,12,"0,3","4,29","0,15",130,0,0,0,130,0,0,210,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gâteau de semoule aux raisins et caramel, rayon frais",146,"3,4","2,16","0,7","0,13","0,01","0,01","0,01",56,"24,8","19,2","0,5","3,81","0,08",64,"0,06","0,35",20,13,"0,07",71,270,20,32,"0,38","33,2","19,8","0,25","0,26","0,8",0,"0,5","0,044","0,17","0,1","0,45","0,042","14,3","0,31"
"Gâteau de semoule, appertisé",150,"3,03","1,18",0,0,"0,04",0,0,25,"27,4",0,1,"2,85","0,069","67,9","0,1","0,3",2,"9,2","0,1",63,93,"3,35","27,5","0,3",13,12,"0,5","0,34",0,0,"0,5","0,04","0,14","0,23","0,21","0,038","18,9","0,08"
"Gâteau marbré, prémballé","432,04",23,"6,11","10,2","3,18","1,01","0,01","0,01","99,8","50,5","27,9","1,75","5,76","0,67",30,"0,11","1,7",20,19,"0,28",160,160,20,268,"0,56","24,3","80,1","0,25","4,23","37,3",0,"0,5","0,038","0,085","9,57","0,32","0,031","73,6","0,24"
"Gâteau moelleux au chocolat, préemballé","433,56",24,"7,88","10,4","3,13","1,46","0,005","0,005",127,"48,2","33,4","2,56","6,19","0,3",0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gâteau moelleux aux fruits à coque, prémballé","449,5","25,5","12,8",0,0,"0,1",0,0,0,"48,8","34,7","2,1","6,2","0,5",0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gâteau moelleux aux fruits, prémballé","398,04","14,8","3,11",0,0,0,0,0,0,"61,6","34,2","1,97","4,61","0,85",0,0,0,0,0,0,0,0,0,356,0,0,0,0,3,0,0,0,"0,21",0,0,0,0,30,0
"Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait, prémballé","459,34","21,7","9,88","7,48","1,8","0,38","0,0029","0,005",63,"60,7","43,7",1,"5,31","0,51","31,3","0,21","2,9",30,"39,9","0,31",158,259,10,205,"0,65",18,30,"0,7",4,"10,6",0,1,"0,14","0,21","0,63","0,67","0,07",34,"0,21"
"Gâteau moelleux fourré aux fruits type mini0roulé ou mini0cake fourré, prémballé","332,94","6,5","0,91","2,54","1,15","0,44","0,0082",0,"62,6","64,2","43,9","1,64","4,41","0,48","32,7","0,1","0,7",8,"12,3","0,2",134,123,5,193,"0,4",20,4,"0,2","2,7",0,0,"0,5","0,059","0,13","0,57","0,4","0,21",29,"0,19"
Gâteau moelleux nature type génoise,"382,8","14,4","1,6",0,0,0,0,0,0,"57,6","27,1","4,6","5,7","0,5","31,4",0,0,0,"9,5",0,0,141,0,200,"0,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gâteau mousse de fruits sur génoise, type miroir, bavarois","251,68","12,2","6,51","3,4","0,78","0,072",0,0,87,"31,6","25,1",1,"3,87","0,11","42,3","0,1","0,8",3,"10,5","0,2",57,97,0,"44,5","0,4",103,36,"0,5","0,7",0,0,"3,1","0,04","0,15","0,24","0,36","0,045","26,3","0,2"
Gâteau Paris0Brest (pâte à choux crème mousseline praliné),"350,26","24,9","13,1","7,47","1,64","0,17","0,01","0,01",109,"26,1","16,2","1,2","5,44","0,3",73,"0,11","0,66",20,23,"0,29",110,160,20,119,"0,54",143,106,"0,25","2,85","3,5",0,0,"0,015","0,22","0,1","0,52","0,018","67,6","0,39"
"Gâteau sablé aux fruits, préemballé","422,82","16,3",13,0,0,0,0,0,0,"63,9",39,"1,9","5,13","0,61",0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaufre bruxelloise ou liégeoise, préparation artisanale",297,"13,4","5,12","4,85","1,66","0,4","0,01","0,01",82,"36,1","4,8","1,9",8,"0,99",48,"0,1","0,89",20,18,"0,27",190,160,20,394,"0,64",627,0,"0,61","2,01","5,1",0,"0,5","0,11","0,083","0,41","0,83","0,01","30,4","0,37"
"Gaufre croustillante (fine ou sèche), chocolatée, préemballée","451,6",16,12,0,0,0,0,0,0,70,39,"1,6","6,9","0,76",0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée","447,42","17,9","10,1","5,63","1,36","0,048","0,005","0,005",0,"66,4","37,6","1,81","5,18","0,83",0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaufre fine fourrée au miel, préemballée",455,"18,3",8,"6,05","2,94","0,1","0,01","0,01","15,6",67,37,"1,9","4,56","0,77",17,"0,11","0,91",0,24,"0,5",91,130,20,308,"0,51","27,6","14,7","0,25","3,25","3,77",0,"0,5","0,026","0,01","0,1","0,26","0,023",10,"0,021"
"Gaufre moelleuse (type bruxelloise ou liégeoise), chocolatée, préemballée","463,1","23,9","13,5",0,0,0,0,0,0,"55,9","29,4","2,45","6,1","0,63",0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée","465,2","25,2","11,4",0,0,0,0,0,0,"52,5",32,"1,77","7,1","0,82","2,8",0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaufrette fourrée chocolat, préemballée","522,52","29,8","22,9","4,94","0,88","0,029","0,005","0,005",0,"57,2","35,8","3,53","6,38","0,27",34,0,0,0,11,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée","505,24","26,4","17,7","4,91","1,29","0,076","0,005","0,005","10,1","59,6","37,4","3,21","7,31","0,34","20,1",1,"6,8",10,"47,3",1,122,263,3,134,1,2,50,"0,2","2,1",0,0,0,"0,05","0,22","0,2","0,51","0,06","11,8","0,54"
"Gaufrette fourrée, aux fruits","361,54","1,58","0,75","0,26","0,27","0,021","0,005","0,005",0,"82,4","41,7","1,66","4,43","0,28",0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,0,0
Gaufrette ou éventail sans fourrage,"415,2",8,5,"2,26","0,34","0,041",0,0,0,"76,8",35,2,9,1,"1,55",0,0,0,0,0,140,144,0,400,0,0,0,0,0,0,0,2,"0,016","0,063","0,68",0,"0,057",5,"0,09"
"Gaufrette, fourrée vanille, préemballée",538,"30,1","19,9","6,89","1,63","0,05","0,01","0,01","8,85","60,1","32,9","1,6","5,75","0,36",92,"0,07","0,55",0,24,"0,27",120,260,20,144,"0,49",21,5,"0,25","1,86","2,09",0,"0,63","0,041","0,16","0,27","1,08","0,041","15,3","0,29"
"Gélatine, sèche",348,"0,1","0,036","0,034","0,002","0,001",0,0,0,0,0,0,"86,9","0,75",280,0,"1,2",5,11,0,0,12,0,298,0,0,0,0,0,0,0,0,0,"0,07",0,0,"0,006",0,0
Gelée au madère,"11,3","0,01","0,004",0,0,0,0,0,0,"0,8","0,1","0,004",2,"1,48",0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gelée au madère, déshydratée",248,"0,2","0,1",0,0,0,0,0,0,17,"1,25","0,1","44,5","28,6",66,0,"4,8",0,2,0,440,45,0,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelée de fruits divers (extra ou classique),"249,33","0,17","0,033",0,0,0,0,0,0,"61,6","61,6","1,28","0,35","0,019",0,0,0,0,0,0,0,0,0,"7,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelée de groseille (extra ou classique),246,"0,3",0,0,0,0,0,0,0,"59,6","58,7","0,5","0,5","0,013","9,8","0,01","0,16",0,"3,8","0,22","5,4",84,20,5,"0,05",0,5,"0,25","0,08","0,8",0,"1,79","0,015","0,01","0,1","0,14","0,014",5,0
Gelée royale,144,4,0,0,0,0,0,0,0,14,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"4,3","7,5",105,133,"6,2",200,150
Gélifiant pour confitures,278,0,0,0,0,0,0,0,0,62,62,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Génoise fourrée et nappée au chocolat, prémballé","422,24","20,8","12,3","5,39","1,44","0,079","0,005","0,0058",27,"53,3",35,"1,91","5,46","0,43",120,"0,28","3,1",20,38,"0,3",140,289,5,171,"0,69",18,15,"0,7","2,56",0,0,"0,5","0,06","0,19","0,43","0,54","0,14","39,1","0,23"
Génoise sèche fourrée aux fruits et nappée de chocolat,"386,32","10,6","6,11","2,82","0,59","0,049","0,00021","0,0056","34,8","69,5","51,7","2,16","3,23","0,17",0,"0,28","1,9",12,37,"0,36","96,3",159,5,70,"0,9",7,30,"0,5","0,75",0,0,1,"0,042","0,091","0,28","0,3","0,17",27,"0,13"
Germe de blé,375,"9,5","1,83","1,23","5,07","0,64","0,01","0,01",0,"35,1",10,"16,3","27,2","0,018",54,"0,78","8,9",20,250,17,1000,990,20,"7,2",14,0,"22,4","0,25","10,2","2,87",0,"0,5","1,32","0,14","1,68","1,35","0,83",143,0
"Gésier, canard, confit, appertisé",149,"2,1","0,7","0,51","0,17","0,005","0,004","0,004",355,0,"0,2",1,"32,4","1,92","8,5","0,1","9,4",32,"18,3","0,1",126,214,37,766,6,2,30,"0,5","0,12",0,0,1,"0,14","0,2","3,6","0,3","0,12",20,"6,8"
"Gésier, poulet, cru",105,"3,75","1,12","0,9","0,45","0,0062",0,0,240,"0,6",0,0,"17,3","0,18",11,"0,12","2,49","0,4",14,"0,055",148,213,0,"73,3","2,72",42,0,"0,6","0,27",0,0,"3,7","0,059","0,14","4,09","0,63","0,12","21,5","0,91"
"Gibier à plumes, viande, cuit (aliment moyen)",217,13,"3,24","2,71","0,83","0,038",0,0,109,0,0,0,"25,1","0,73","6,81","0,45","4,2","10,1","31,3","0,043",246,369,"24,4",290,"2,12","23,5",8,"0,55","0,54",0,0,"2,08","0,32","0,67","11,8","2,58","0,82","9,46","2,78"
"Gibier à poil, cuit (aliment moyen)",152,"3,74","1,26",0,0,0,0,0,"97,4",0,0,0,"29,6","0,14","11,8","0,18","3,03",0,"25,8",0,187,362,0,56,"2,84",0,0,0,0,"1,63",0,0,"0,23","0,36","5,59",0,"0,5","6,18","1,26"
Gin,265,0,0,0,0,0,0,0,0,0,0,0,0,"0,005",0,"0,0025","0,18",1,0,0,0,0,0,2,"0,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gingembre, poudre",335,"4,24","2,6","0,36",0,"0,22",0,0,0,"58,3","3,39","14,1","8,98","0,068",114,"0,48","19,8",0,214,"33,3",168,1320,0,27,"3,64",0,18,0,0,"0,8",0,"0,7","0,046","0,17","9,62","0,48","0,63",13,0
"Gingembre, racine crue","32,9","1,1","0,09","0,8","0,13","0,01","0,01","0,01",0,"3,4",1,"2,7","1,1","0,016",11,"0,05","0,4",20,26,7,26,320,20,"6,3","0,24",0,43,"0,25","0,75","0,8",0,"0,5","0,018","0,01","0,1","0,13","0,1","11,8",0
"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique","23,313","0,097",0,0,0,0,0,0,0,"4,51","1,91",2,"1,1",0,0,0,0,0,0,0,0,321,0,0,0,0,1710,0,0,0,0,0,0,0,0,0,0,"20,5",0
"Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique",15,0,0,0,0,0,0,0,0,"3,75","1,35","2,4",0,0,0,0,0,0,0,0,0,347,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0
"Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique","9,68",0,0,0,0,0,0,0,0,"2,42","0,82","2,9",0,0,0,0,0,0,0,0,0,319,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0
"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique","27,05","0,05",0,0,0,0,0,0,0,"5,62","1,56",2,"1,03",0,0,0,0,0,0,0,0,442,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,"31,7",0
"Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique","14,04",0,0,0,0,0,0,0,0,"3,51","1,44","1,6",0,0,0,0,0,0,0,0,0,353,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0
"Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique","17,48",0,0,0,0,0,0,0,0,"4,37","1,47","2,4",0,0,0,0,0,0,0,0,0,454,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0
Glace à l'eau,"85,268","0,2","0,19",0,0,0,0,0,0,"20,8","20,1","0,2","0,067","0,02","5,8","0,01","0,01",20,"1,4","0,01","1,9",13,20,"11,6","0,05",0,542,0,0,"0,8",0,"2,35","0,016","0,01","0,1","0,11","0,01",5,0
"Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen)","247,6",12,"8,42","2,9","0,57","0,053","0,0046","0,0038","8,36","32,2","25,3","1,17","2,7","0,14","85,1","0,062","2,13","11,8","16,4","0,051","77,9",122,"2,86",55,"0,48","43,9","93,6","0,06","1,05",0,0,"1,12","0,036","0,16","0,18","0,28","0,046","4,03","0,17"
Glace au yaourt,"124,4","2,2","1,44","0,43","0,03","0,02","0,01","0,01",0,"22,7","20,7",3,"3,45","0,093",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glace ou crème glacée, bac ou pot (aliment moyen)","166,97","6,21","4,03","1,27","0,17","0,026","0,005","0,005","39,3","24,9","21,5","1,5","2,87","0,11","99,3","0,032","0,14",10,"14,3","0,11","95,7",190,10,"42,8","0,35","85,2",172,"0,13","0,48","0,59",0,"0,25","0,048","0,41","0,073","0,31","0,046",10,"0,43"
"Glace ou crème glacée, bâtonnet, enrobé de chocolat",328,"19,8","13,3","4,67","0,55","0,057","0,0076","0,01","17,5","33,4","27,9","1,23","3,42","0,16","93,8","0,14","6,33","3,63","19,2","0,1",122,"26,4","1,1","65,7","0,52",134,0,"0,13","2,36",0,0,"0,27","0,021","0,11","0,045","0,21","0,021","0,49","0,21"
"Glace ou crème glacée, cône (taille standard)","286,74","13,5","9,77","2,33","0,61","0,06","0,01","0,01","6,2","37,8","25,7",3,"3,51","0,13",109,0,"0,95",22,"17,5",0,100,216,"1,1",52,"0,5",0,5,0,"0,77",0,0,1,"0,05","0,23","0,21","0,35","0,07",8,"0,13"
"Glace ou crème glacée, en bac","190,2","8,4","5,44","1,73","0,25","0,03","0,01","0,01","39,3","26,1","21,9",3,"2,55","0,12","99,3","0,032","0,14",20,"14,3","0,11","95,7",190,20,46,"0,35","85,2",172,"0,25","0,48","0,59",0,"0,5","0,048","0,41","0,073","0,31","0,046",10,"0,43"
"Glace ou crème glacée, gourmande, en bac","224,5","10,7","6,36",0,0,0,0,0,0,29,"24,4","1,05","3,05","0,17",0,0,0,0,0,0,0,0,"1,7","67,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glace ou crème glacée, gourmande, en pot","274,74","17,9","10,8","3,71","0,61","0,08","0,03","0,04",73,"24,2","21,9",2,"4,21","0,16",110,"0,11","1,3",20,21,"0,14",110,210,20,"62,4","0,58",124,"91,4",0,"0,3","1,56",0,0,"0,048","0,18","0,1","0,57","0,039","15,6","0,47"
"Glace ou crème glacée, mini cône","352,6","20,2","15,1",0,0,0,0,0,0,"38,5","25,6","2,33","4,2","0,29",0,0,0,0,0,0,0,0,0,113,0,246,0,"0,044","0,74",0,0,0,"0,089","0,091","0,84","2,24","0,042","8,65","0,15"
"Glace ou crème glacée, petit pot enfant","161,74","5,94","4,12",0,"0,11","0,023",0,0,0,"25,2",22,"0,28","1,87","0,14",119,0,0,0,0,0,0,0,0,"54,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glace ou crème glacée, pot individuel","233,94","12,7","9,2",0,0,0,0,0,0,"26,7","22,1","1,91","3,21","0,15",0,0,0,0,0,0,0,0,0,"59,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnocchi à la pomme de terre, cru",176,"1,42","0,3",0,0,0,0,0,0,35,"3,18","2,2","4,66","1,18",0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnocchi à la pomme de terre, cuit",177,"2,05","0,26","0,54","1,02","0,024",0,0,129,"33,6","1,1",2,"5,01","1,01","5,1","0,14","0,7",60,"18,8","1,4",39,184,5,402,"0,5",2,0,"0,5","0,92",0,0,0,"0,084","0,04","1,6","0,24","0,12","27,1","0,15"
"Gnocchi à la semoule, cru",200,"2,6","0,34",0,"0,93","0,0095",0,0,0,37,"9,9","1,9","6,2","2,21",0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnocchi à la semoule, cuit",185,"2,4","0,4",0,0,0,0,0,0,"34,4","0,2","1,8","5,6","1,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnocchi, cuit (aliment moyen)",181,"7,88","0,33",0,0,0,0,0,0,34,"0,65","1,9","6,34","1,06","93,6",0,"0,75",0,17,0,0,158,0,395,"0,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gombo, entier, appertisé, non égoutté, prélevé à la Martinique",0,0,0,0,0,0,0,0,0,0,0,"2,8",0,0,0,0,0,0,0,"0,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,3",0
"Gombo, entier, cuit à la vapeur, prélevé à la Martinique","28,66","0,3",0,0,0,0,0,0,0,"4,69",0,"4,8","1,8",0,0,0,0,0,61,"0,52",0,374,0,0,0,0,163,0,0,0,0,3,0,0,0,0,0,107,0
"Gombo, fruit, cuit","17,41","0,21","0,045",0,0,0,0,0,0,"2,01","2,01","2,5","1,87","0,015",77,"0,085","0,28",0,36,"0,29",32,135,0,6,"0,43",0,170,0,"0,27",40,0,"16,3","0,13","0,055","0,87","0,21","0,19",46,0
