ciqual_code,nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g,Eau_g_100g,Fructose_g_100g,Galactose_g_100g,Glucose_g_100g,Lactose_g_100g,Maltose_g_100g,Saccharose_g_100g,Amidon_g_100g,Polyols_g_100g,Alcool_g_100g
21516,"Agneau, côte filet crue",232.0,18.0,7.75,5.04,0.69,0.12,,,,0.0,0.0,0.0,17.6,0.18,9.0,,1.15,,,,,,5.7,69.6,2.08,,,,,,,,,,5.51,,0.23,21.0,1.47,64.0,,,,,,,0.0,0.0,0.0
21509,"Agneau, côte filet grillée/poêlée",157.0,5.78,2.21,1.58,0.28,0.038,,0.0057,86.0,0.0,0.0,0.0,26.3,,,,1.27,,,,,,10.1,,3.55,,,,0.16,,,,0.1,,6.72,0.62,0.3,,1.22,67.7,,,,,,,0.0,0.0,0.0
21521,"Agneau, côte ou côtelette, crue (aliment moyen)",262.0,21.5,9.37,6.47,0.66,0.2,,,,0.35,0.13,0.0,16.6,0.19,8.77,,1.39,,,,,,5.18,75.1,2.55,,,,,,,,,,4.98,,0.25,,1.52,60.6,,,,,,,0.0,0.0,0.0
21522,"Agneau, côte ou côtelette, cuite (aliment moyen)",157.0,5.78,2.21,1.58,0.28,0.038,,0.0057,86.0,0.0,0.0,0.0,26.3,,,,1.27,,,,,,10.1,,3.55,,,,0.16,,,,0.1,,6.72,0.62,0.3,,1.22,67.7,,,,,,,0.0,0.0,0.0
21524,"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",157.0,5.78,2.21,1.58,0.28,0.038,,0.0057,86.0,0.0,0.0,0.0,26.3,,,,1.27,,,,,,10.1,,3.55,,,,0.16,,,,0.1,,6.72,0.62,0.3,,1.22,67.7,,,,,,,0.0,0.0,0.0
21517,"Agneau, côte première crue",276.0,23.1,10.0,6.53,0.87,0.15,,,,0.0,0.0,0.0,16.9,0.2,8.0,,1.12,,,,,,4.81,81.2,1.84,,,,,,,,,,5.14,,0.21,21.0,1.64,59.3,,,,,,,0.0,0.0,0.0
21512,"Agneau, côte première grillée/poêlée",185.0,9.01,3.67,2.58,0.39,0.06,,0.004,90.0,0.0,0.0,0.0,26.1,0.18,22.0,0.12,1.27,,20.0,0.019,166.0,271.0,9.36,73.0,3.43,0.0,0.0,0.1,0.13,4.9,,0.0,0.1,0.21,6.64,0.7,0.28,15.0,1.38,64.1,,,,,,,0.0,0.0,0.0
21500,"Agneau, côtelette crue",333.0,30.1,14.0,8.95,0.62,0.45,0.009,0.0072,79.8,0.0,0.0,0.0,15.4,0.17,9.32,0.12,1.73,2.97,15.5,0.015,144.0,279.0,2.7,67.4,2.53,45.0,0.0,0.43,,0.0,,1.0,0.15,0.21,4.3,0.55,0.32,6.8,1.2,52.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21501,"Agneau, côtelette grillée/poêlée",240.0,15.2,6.65,4.33,0.37,0.11,0.013,0.0074,48.9,0.0,0.0,0.0,25.7,0.31,19.7,0.077,,5.0,20.1,0.0079,184.0,,9.97,,3.5,5.5,0.0,0.1,0.13,4.9,,,,,7.45,,,1.0,2.8,58.0,,,,,,,0.0,0.0,0.0
21504,"Agneau, épaule crue",170.0,10.6,3.87,4.04,0.34,0.057,0.005,0.0,72.0,0.45,0.5,0.0,18.3,0.2,16.0,0.097,1.63,1.85,21.0,0.019,158.0,230.0,7.53,78.8,3.43,0.0,0.0,0.4,,3.4,,0.0,0.11,0.21,5.66,0.68,0.13,19.0,1.65,70.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
